title,sales_company,end_user,delivery_day,user_id,content,status
その他,アビット,アナザーレーン,2017/9/30,5,17/1　アリペイとWechat PaymentのQRコード読取　ベースのシステムがアナザーレーンで作成中。カスタムケーブル　初回100台,継続
小売,オリンピアディストリビューション,オリンピア,2017/5/31,5,17年3月か4月に発注。7月に稼動,受注
その他,Origami,タクシー会社,2017/12/31,5,"１７／３決済サービス「Origami pay」連携、CREPICO端末USB接続　3月接続テストが遅延",継続
小売,エスキュービズム・テクノロジー,ナルミヤインターナショナル,2016/10/31,5,"16/7/13　エンドからエンドが別ルートでオプトC40 を5000から6000円で購入した為、失注　16/7/6　デザインが良くない指摘で7,000から6000円にし競争力を持たせる。　16/7/1商談開始",失注
医療,EPARKヘルスケア,薬剤店,2017/12/31,5,"17/1　筆頭株主が変わった為、保留状態。4月以降に再度稟議　'16/9から展開予定がアプリの本部機能追加で手間がかかり遅延",継続
医療,モバイルコムネット,置き薬,2017/3/31,5,"17/3  当初はキーエンスでいくとのこと。PM251で読まないものがキーエスでは読める。但し軽減税率終了後、価格問題が問題になるため再度検討。16/12　未だスタートしていないとの連絡　16/9　スタート予定　ずれ込み16/8　賞味期限ではなく汎用（SVM）での評価御願い16/6　現場（個人宅の応接室）では読取にくい現象が出ている16/1　以前より改善されているとの事15/11　SVMでドット文字以外を読み、KNNでドット文字を読むような形が一番読みやすい結果。15/10　キーエンスより読取が落ちるが改良の余地の有無あるかとの質問。　価格的は良い。15/8　本商談スタート",失注
小売,イオンドットコム株式会社,イオン,2017/12/31,5,"17/3　最大4,000台　AsReader１Dからの切り替え商談。近々KDC470を紹介予定",継続
小売,スペース,エノテカ,2017/12/31,5,"2/10　新明和が失注　受注ベンダーはスペースは未だ把握していない。1/17 新明和が代理店として商談中。NEC,TEC,オレンジPOSが競合",失注
小売,スペース,提案中,2017/12/31,5,3/17　リテールテック　見積依頼、導入検討会社15社の商談を3月22日から開始。,継続
小売,株式会社ヴィンクス,福岡ソフトバンクホークス,2017/3/31,5,"17/3/13　SL22　2台追加17/2/17　SL22 3台追加16/12/13　SL22 220台、4連充電器　59台、シングル充電器18台納品16/7/6　初回見積16/6/14　福岡ソフトバンクホークスから問い合わせ16/6/9　ヴィンクスより問い合わせ",受注
物流,株式会社ヴィンクス,提案中,2017/12/31,5,3/15　auのアンドロイド端末での対応をできるようにした場合、大体どの程度のカスタマイズ費用か。SL42 の場合の価格,継続
小売,株式会社ヴィンクス,ケイト・スペード ジャパン,2017/8/31,5,3/9今月中に最終決定連絡有,継続
医療,ブレイン,調剤薬局,2017/12/31,5,"3/13　WinodwsタブレットPOSと新開発のプリンターの組み合わせ。1452g-２Dで提案は決定。調剤薬局以外、小売もありその場合は１D版　@11,000(税別）　スタンド付き",継続
小売,ブレイン,映画館,2017/12/31,5,"3/13　ある程度納得をしているがipodTouchのカメラでいいのではないかという問い。2/24　初回打ち合わせ　映画館でチケットのQRコードを付け、QRコードを読ませる　PA670とLS22紹介。",継続
物流,ダイドー株式会社,ダイドー,2017/8/31,5,"3/28　PM200開発用1台購入16/12/16社内稟議完了　開発用機器3月に1台購入。7月迄に開発完了　8月から順次展開",受注
医療,郷商事,タカゾノ,2018/3/1,6,"アイウェアにも同引き合い。100台：12,400円、500台：11,200円、調剤監査システムRak-Che3（ラクチェ３）リニューアル向け",継続
医療,郷商事,タカゾノ,2017/5/1,6,年50セット目標、薬剤払出機Tiara（ティアラ）向け,継続
その他,日本システム開発,日本システム開発,2017/12/31,6,マーソンのレーザー終息に伴う代品案件。,継続
物流,日本システム開発,東七,2017/10/1,6,(株)イシマル経由、競合：キーエンス W85,継続
小売,日本システム開発,セリア,2017/9/1,6,NEC経由　既存MS3200の入れ替え提案 コードレス化の案あり1452gも提案していた,継続
小売,日本システム開発,桂新堂,2017/5/1,6,菓子メーカーの直営店舗向け　競合：キーエンス,継続
医療,日本システム開発,半田市医師会健康管理センター,2017/12/31,6,時期等、詳細はまだ不明,継続
その他,日本システム開発,福岡市交通局,2017/12/31,6,Zebexユーザーの置き換え提案,継続
医療,日本システム開発,アイティーアイ,2017/12/31,6,(株)イシマル経由　GS1 AIカッコ出力のためプラグイン入り、しかし対象機がiPhone7だった・・・,継続
医療,日本システム開発,徳島県立中央病院,2018/1/1,6,"NEC経由　入札仕様はOPL-6845、特価＠8,300+保証延長2,000　6年保証",継続
医療,日本システム開発,島根大学医学部附属病院,2017/3/21,6,受注済　東芝メディカルシステムズ経由,受注
医療,日本システム開発,千葉大学医学部附属病院,2018/4/1,6,2017年度内入札、東芝メディカルシステムズ経由,失注
医療,日本システム開発,関門医療センター,2017/12/31,6,失注：NEC納入済み他社バイブ無し品の入れ替え案件だったが、入れ替えない模様。,受注
医療,日本システム開発,市立川西病院,2017/1/30,6,受注済,継続
医療,日本システム開発,国立循環器医療センター,2018/9/1,6,2011年にNEC経由で納入済、2019年に移転予定、2018年中に入札ある予定,継続
医療,日本システム開発,国立姫路医療センター,2017/7/1,6,キヤノンITSメディカル経由、競合：NEC,継続
医療,日本システム開発,国立病院機構 大阪医療センター,2017/12/1,6,富士通経由、2017年12月入札、2018年12月稼働、6年保証,継続
医療,日本システム開発,国立沖縄病院,2017/4/1,6,JBCC経由　状況確認します,継続
医療,日本システム開発,桜十字病院,2017/12/31,6,再春館製薬所グループ　全8病院,継続
医療,日本システム開発,社会医療法人大道会,2017/12/31,6,H-15A使用中ユーザー。充電端子故障多発による買い替え需要,継続
医療,日本システム開発,大阪成人病センター,2016/12/1,6,受注済、2D有線はGD-4430に。NEC経由,受注
物流,日本システム開発,PASCOエクスプレス,2017/12/31,6,失注：ソロモンOCR。読み取り評価で満足できず。敷島製パングループ　システムギアソフテック経由,失注
FA,日本システム開発,(株)日工社 大分工場,2016/8/1,6,失注：DT-W70のリプレイス案件だったが、K社W85に決定された。,失注
医療,日本システム開発,関西労災病院,2017/2/1,6,失注：NEC経由。OPL6845が型番指定で決定、電子カルテシステム自体も富士通が落札。,失注
医療,日本システム開発,スズケン,2016/9/1,6,"失注：NEC中部支社経由。競合：Bluebird(富士通)、E/U@50,000切って提示され。",失注
物流,ブレイン,住友重機械搬送システム,2017/12/31,6,防爆　単価見積もり引き合い,継続
FA,ブレイン,積水ハウス,2017/2/1,6,受注済　アンデックス社（仙台）経由,受注
物流,ブレイン,キューソー流通,2017/12/1,6,失注に近い保留、デンソー3.5インチ画面CE機(BHT-1200B-CE)を試すとのこと。,失注
FA,ブレイン,横浜ゴム,2016/6/1,6,受注：SR61TXの入れ替え。（旭硝子と間違えていました）,受注
物流,ブレイン,ホームロジスティクス,2016/9/1,6,失注：マンハッタンアソシエイツ社WMS配下、TC55への接続。競合：キーエンス、Bluebird、最終的にCASIOがHi-Sarfとの組み合わせで受注。,失注
FA,東北システムズ・サポート,竹本油脂,2017/6/1,6,昨年のモバイルEXPOから追っかけていただいている件,継続
